Bus interchange,bus_code,Bus services,No. of services
Woodlands Temporary Bus Interchange,46009,"161, 168, 169, 169A, 169B, 178, 178A, 187, 856, 856A, 858, 858A, 900, 900A, 901, 901M, 902, 903, 903M, 904, 911, 912A, 912B, 912M,Ê913, 913M, 925, 925M, 926, 950, 960, 960e, 961, 961M, 962, 963, 963e, 963R, 964, 965, 965A, 966, 969",43
Bedok Bus Interchange,84009,"7, 7A, 9, 9A, 14, 14A, 16, 17, 17A, 18, 26, 30, 30e, 32, 33, 33B, 35, 35M, 38, 40, 60, 66, 66A, 69, 87, 155, 168, 196, 196A, 197, 222, 222A, 225G, 225W, 228, 229, 401, 854, 854e",39
Tampines Bus Interchange,75009,"3, 3A, 4, 8, 10, 19, 20, 22, 23, 28, 29, 29A, 31, 31A, 37, 38, 46, 65, 67, 67W, 68, 68A, 68B, 69, 72, 81, 127, 127A, 291(E), 291(W), 292, 293(E), 293(W), 969, 969A",35
Boon Lay Bus Interchange,22009,"30, 79, 154, 154B, 157, 172, 174, 174e, 178, 179, 179A, 180, 180A, 181, 181M, 187, 192, 193, 194, 198, 198A, 199, 240, 241, 242, 243G, 243W, 246, 249, 251, 252, 405",32
Jurong East Bus Interchange,28009,"41, 49, 51, 51A, 52, 66, 66B, 78, 78A, 79, 79A, 97, 97e, 98, 98M, 105, 105B, 143, 143M, 160, 160A, 183, 183B, 197, 333, 334, 335, 506, CW3, CW3S, CW4, CW4S",32
Yishun Bus Interchange,59009,"39, 85, 85A, 103, 171, 800, 803, 804, 805, 806, 807, 807A, 811, 811A, 812, 851, 851e, 852, 853, 853M, 854, 854e, 855, 856, 857, 857A, 859, 860,ÊAC7",29
Hougang Central Bus Interchange,64009,"27, 27A, 51, 74, 74e, 89, 89e, 102, 107, 107M, 112, 112A, 113, 116, 132, 147, 147A, 151, 151e, 153, 161, 165, 324, 325, 329",25
Ang Mo Kio Bus Interchange,54009,"22, 24, 25, 73, 73A, 86, 130, 130A, 133, 135, 135A, 136, 138, 138A, 138B, 166, 169, 261, 262, 265, 265, 269, 269A",23
Punggol Bus Interchange,65009,"3, 34, 34A, 43, 43e, 43M, 50, 62, 62A, 82, 83, 84, 85, 117, 118, 119, 136, 381, 382A, 382G, 382W, 386, 386A",23
Toa Payoh Bus Interchange,52009,"8, 26, 28, 31, 73, 88, 90, 90A, 139, 139M, 141, 142, 142A, 143, 145, 155, 157, 159, 163, 231, 232, 235, 238",23
Choa Chu Kang Bus Interchange,44009,"67, 67A, 67W, 172, 188, 188e, 188R, 190, 190A, 300, 301, 302, 307, 307A, 925, 927, 976, 983, 983A, 985, 991, 991B",22
Pasir Ris Bus Interchange,77009,"3, 5, 6, 12, 12e, 15, 15A, 17, 21, 58, 58B, 68, 88, 354, 358, 359, 403, 518, 518A",19
Bukit Batok Bus Interchange,43009,"61, 77, 106, 106A, 173, 173A, 177, 189, 189A, 852, 941, 944, 945, 947, 990, 991, 991A",17
Clementi Bus Interchange,17009,"7, 7B, 14, 96, 96A, 99, 147, 156, 165, 166, 173, 175, 196, 282, 284, 285",16
Bukit Merah Bus Interchange,10009,"5, 16, 57, 123, 131, 131M, 132, 139, 153, 167, 176, 198, 272, 273, 851",15
Sembawang Bus Interchange,58009,"117,Ê117B, 167, 167e, 859, 859A, 859B, 882, 882A, 883, 883A, 883M, 980, 981",14
Bukit Panjang Bus Interchange,45009,"176, 180, 180A, 920, 922, 970, 972, 972A, 973, 973A, 975, 976, 979",13
Sengkang Bus Interchange,67009,"80, 80A, 83, 86, 87, 156, 159, 159A, 163, 163A, 371, 372, 965",13
Yio Chu Kang Bus Interchange,55509,"13, 70, 70A, 70M, 71, 72, 72A, 72B, 76, 162, 162M, 825, 860",13
Bishan Bus Interchange,53009,"50, 52, 53, 54, 55, 55B, 56, 57, 58, 59, 410G, 410W",12
Eunos Bus Interchange,82009,"60, 60A, 61, 63, 63M, 76, 93, 94, 94A, 150, 154",11
HarbourFront Bus Interchange,14009,"65, 80, 93, 123M, 124, 188, 188e, 855, 963, 963e",10
Serangoon Bus Interchange,66009,"100, 100A, 101, 103, 105, 109, 109A, 158, 315, 317",10
Joo Koon Bus Interchange,24009,"99, 182, 182M, 253, 254, 255, 257, 258, 974",9
Tampines Concourse Bus Interchange,75019,"18, 39, 129, 298",4
Compassvale Bus Interchange,67759,"110, 374",2
